Inventar-ID;Inventar-Nr;Inventar-Bezeichnung;Serien-Nr.;Anlagenbezeichnung/EMTEC;Typ / Modell;Materialbez.;Basisstelle;Einsatzstelle;letzte Stelle;Fahrzeug;Besitz;Anschaffung;Ausmusterungsdatum;Anschaffungskosten;Gehört zu Inventar-Nr;Lagerort;Anlagenkonto;Reservierung bis;Bemerkung;Barcode;Aktiv;Aktives Produkt;Hat Bild;Örtlicher Bereich;Haus;Ebene;Raum;Baujahr;Garantie von;Garantie bis;Aktennummer;Neubeschaff.preis;Abschreibungssatz;Monatsabschreibung;Restwert;abgeschrieben am;Instandhaltungsgrenze Jahr;Instandhaltungsgrenze;Instandhaltungskosten;Nutzungsdauer;technischer Nutzungssatz;technische Monatsabschreibung;technischer Restwert;technisch abgeschrieben am;Spannung;Strom;Leistung;Messfunktion vorhanden;IT fähig;CE Kennzeichen vorh.;Schutzart IP-Code;Anzahl Anschlüsse;Anschlussleitung fest;Anlageort fest;Gehört zu;Zuordnung;man. Benutzer;Benutzer;Änderungsdatum/Zeit;man. Änderungsdatum;Hersteller;Logistik-Status;Anleitung vorhanden;Kundendienst;Technik-Status;Technik-Anlage;MPG Klasse;Lieferant;MP Verantwortlicher;MP Beauftragter;Verantwortlicher §5;Geräteklassifikation VDE;Kostenstelle;Kostenart;Konto;Fachbereich;CAD-ID;Inventar-Garantie (Monate);Letzter Raum (Barcode);Letzter Raum (Nr);letzter Raum;Letzter Raum (Zeitstempel);Typ/Modell Freitext;Netzwerknummer;IP-Adresse;Budget;Anzahl Aufträge;Eingabenummer;Fremd-ID;Anzahl Tätigkeiten;Anzahl Termine;Anzahl Verträge;Länge;Breite;Höhe;Gewicht;Farbe;Fläche;Zusammensetzung;Inbetriebnahmedatum;End-Of-Service;Risikoklasse;EMTEC-Bezeichnung;EMTEC-Code;Verfügbarkeitsstufe;Investitionsnummer (Zugang);Investitionsnummer (Abgang);Projekt;Abrechnungscode;Geplanter Hersteller;Geplanter Typ;Ersetzt durch;1. Erneuerung;2. Erneuerung;Erneuerung (Verlängerung);1. Investitionssumme;2. Investitionssumme;Investitionssumme (Verlängerung);Bereitstellungspauschale (Normal);Bereitstellungspauschale (Verlängerung);Bewirtschaftungspauschale (Normal);Bewirtschaftungspauschale (Verlängerung);Verbrauchsmaterialpauschale Normal;Verbrauchsmaterialpauschale Verlängerung;Investitionsantragsnummer;Hauptgerät;Sammelposition Anzahl;Softwareversion;Leistung A;Leistung B;Leistung C
5320;5015002;ZLA - 001;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof HNO/A;;;;;;;;;;;05015002;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;ABAZI;DYN_Import;07-05-2020  11:59;09.10.2021;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;1;;;;
5321;5015003;ZLA - 002;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K2;;;;;0;;;;;;05015003;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5322;5015004;ZLA - 003;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F1;;;;;0;;;;;;05015004;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5323;5015005;ZLA - 004;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof F1;;;;;0;;;;;;05015005;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5324;5015006;ZLA - 005;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K2;;;;;0;;;;;;05015006;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5325;5015007;ZLA - 006;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof K1;;;;;0;;;;;;05015007;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5326;5015008;ZLA - 007;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015008;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5327;5015009;ZLA - 008;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof NZ2;;;;;0;;;;;;05015009;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5328;5015010;ZLA - 009;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M3;;;;;0;;;;;;05015010;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;1372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
5329;5015011;ZLA - 010;;;;ZLA;AWT ZLA REIN;;AWT Bahnhof M2;;;;;0;;;;;;05015011;WAHR;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;;;;FALSCH;FALSCH;;;;DYN_Import;07-05-2020  11:59;;;belegt;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;2625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSCH;;;;;
